,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
265,31406,38.942475,-77.032678,14th & Upshur St NW,0,0,0,3652,4275,4384,5289,5640,4551,4154
266,31407,38.956432,-77.032947,14th St & Colorado Ave NW,0,0,0,2239,3005,3223,3128,3820,3161,3226
267,31408,38.975219,-77.016855,Takoma Metro,0,0,0,0,5352,6525,6338,7182,5751,5889
268,31411,38.961339,-77.027855,Georgia & Missouri Ave NW,0,0,0,0,0,429,1605,1380,1297,1772
269,31412,38.957461,-77.00222883333333,3rd St & Riggs Rd NE,0,0,0,0,0,0,8,592,1063,950
270,31413,38.968844333333344,-77.0162425,3rd & Underwood St NW,0,0,0,0,0,0,0,1104,1227,1424
271,31414,38.96752166666667,-77.02795633333334,Georgia Ave & Piney Branch Rd NW,0,0,0,0,0,0,0,968,994,1157
272,31415,38.95674,-77.02790999999999,Georgia Ave & Kennedy St NW,0,0,0,0,0,0,0,0,1263,1266
273,31416,38.969489,-77.033509,14th & Luzon St NW,0,0,0,0,0,0,0,0,155,727
274,31417,38.948220166666665,-77.02195133333333,Kansas Ave & Sherman Cr NW,0,0,0,0,0,0,0,0,628,4392
275,31418,38.95155066666667,-77.01287233333333,New Hampshire & Gallatin St NW,0,0,0,0,0,0,0,0,0,2877
276,31419,38.932128000000006,-77.0235,Georgia Ave & Morton St NW,0,0,0,0,0,0,0,0,0,5041
277,31420,38.942146,-77.038684,17th & Upshur St NW,0,0,0,0,0,0,0,0,0,667
278,31421,38.942024743273045,-77.01822102069855,Grant Circle,0,0,0,0,0,0,0,0,0,0
279,31422,38.96580566666667,-77.06874466666666,Broad Branch Rd & Northampton St NW,0,0,0,0,0,0,0,0,0,0
280,31423,38.958098,-77.013821,Kansas Ave & Longfellow St NW,0,0,0,0,0,0,0,0,0,0
281,31500,38.919077,-77.000648,4th & W St NE,149,1454,3568,4267,3985,4531,5555,5809,5706,5566
282,31501,38.933668,-76.991016,12th & Newton St NE,124,1008,1066,1339,1631,1682,2070,1826,1940,1704
283,31502,38.9346,-76.9955,John McCormack Dr & Michigan Ave NE,229,1278,1559,1620,2523,3596,3620,3689,3215,3086
284,31503,38.9126,-77.0135,Florida Ave & R St NW,1320,11919,14714,15068,15227,15463,13320,13289,13228,12032
285,31504,38.932514000000005,-76.992889,10th & Monroe St NE,106,2328,3095,3122,3424,3907,4157,3601,2723,3035
286,31505,38.910971999999994,-77.00495,Eckington Pl & Q St NE,285,3233,5169,6840,8591,10030,10644,13109,11239,10417
287,31506,38.915417,-77.012289,1st & Rhode Island Ave NW,0,438,13567,16284,15198,15797,15245,15540,13990,12666
288,31507,38.92877983333333,-77.01231800000001,1st & Washington Hospital Center NW,0,0,1837,3365,3248,3665,3957,4251,4309,4232
